Date,Area,Operation_Cost_KES,Revenue_Collection_KES,Bill_Collection_Rate
2023-01-01,Westlands,51170.04,60165.14,0.87
2023-01-01,Eastleigh,48156.15,48787.12,0.88
2023-01-01,Karen,59380.54,68170.13,0.91
2023-01-01,Kilimani,54665.08,59008.22,0.85
2023-01-01,Kibera,54342.62,54468.59,0.88
2023-01-01,South B,56294.59,62017.59,0.89
2023-01-01,Kahawa,47228.14,52304.47,0.84
2023-01-01,Parklands,52299.06,57435.14,0.77
2023-01-02,Westlands,46409.36,57142.13,0.88
2023-01-02,Eastleigh,39510.39,46760.87,0.79
2023-01-02,Karen,54466.87,64760.85,0.86
2023-01-02,Kilimani,45015.54,47649.59,0.88
2023-01-02,Kibera,44322.58,47300.03,0.88
2023-01-02,South B,46744.13,55969.12,0.8
2023-01-02,Kahawa,33559.22,35385.36,0.87
2023-01-02,Parklands,54316.65,58578.05,0.84
2023-01-03,Westlands,49845.57,60723.08,0.87
2023-01-03,Eastleigh,47536.13,58867.07,0.85
2023-01-03,Karen,39623.42,40212.07,0.88
2023-01-03,Kilimani,41113.86,46761.81,0.81
2023-01-03,Kibera,55888.58,62365.42,0.77
2023-01-03,South B,54571.12,65137.93,0.79
2023-01-03,Kahawa,45986.06,52316.27,0.88
2023-01-03,Parklands,61766.23,71828.51,0.97
2023-01-04,Westlands,50097.05,56606.45,0.82
2023-01-04,Eastleigh,47386.99,52815.71,0.82
2023-01-04,Karen,37179.57,39471.99,0.9
2023-01-04,Kilimani,50364.05,55908.96,0.81
2023-01-04,Kibera,51664.75,62659.67,0.92
2023-01-04,South B,51829.34,54395.31,0.94
2023-01-04,Kahawa,55296.21,55779.79,0.76
2023-01-04,Parklands,42872.84,45998.77,0.9
2023-01-05,Westlands,54389.76,61305.24,0.84
2023-01-05,Eastleigh,61856.54,68488.13,0.85
2023-01-05,Karen,47462.11,59269.71,0.89
2023-01-05,Kilimani,44827.56,46174.96,0.77
2023-01-05,Kibera,49516.15,49892.42,0.79
2023-01-05,South B,55341.71,64357.69,0.92
2023-01-05,Kahawa,42648.4,44347.9,0.82
2023-01-05,Parklands,58200.42,64549.35,0.94
2023-01-06,Westlands,53137.22,58328.33,0.88
2023-01-06,Eastleigh,41353.09,40173.48,0.86
2023-01-06,Karen,50072.01,61622.88,0.78
2023-01-06,Kilimani,51862.26,59651.62,0.87
2023-01-06,Kibera,55494.73,59040.61,0.89
2023-01-06,South B,52807.63,62354.22,0.82
2023-01-06,Kahawa,44068.98,46895.74,0.8
2023-01-06,Parklands,47175.11,51103.46,0.8
2023-01-07,Westlands,50038.87,51458.16,0.85
2023-01-07,Eastleigh,47523.89,52139.41,0.87
2023-01-07,Karen,47908.84,50516.64,0.82
2023-01-07,Kilimani,55115.62,65475.17,0.82
2023-01-07,Kibera,49227.33,48942.51,0.84
2023-01-07,South B,42742.22,45873.44,0.9
2023-01-07,Kahawa,42490.5,44460.76,0.81
2023-01-07,Parklands,41655.73,48365.47,0.86
2023-01-08,Westlands,59044.27,61424.01,0.76
2023-01-08,Eastleigh,54706.59,59167.67,0.83
2023-01-08,Karen,57390.13,64049.37,0.9
2023-01-08,Kilimani,46886.76,49599.89,0.83
2023-01-08,Kibera,53351.83,59130.29,0.87
2023-01-08,South B,36983.84,36342.98,0.74
2023-01-08,Kahawa,48103.53,48784.3,0.93
2023-01-08,Parklands,49893.08,55834.58,0.8
2023-01-09,Westlands,44395.06,53532.92,0.94
2023-01-09,Eastleigh,52079.11,50669.66,0.83
2023-01-09,Karen,51566.34,56216.7,0.74
2023-01-09,Kilimani,59247.58,62251.01,0.78
2023-01-09,Kibera,49845.62,58916.35,0.88
2023-01-09,South B,43421.8,43802.23,0.74
2023-01-09,Kahawa,48541.98,52146.17,0.88
2023-01-09,Parklands,46572.45,54410.17,0.88
2023-01-10,Westlands,46355.59,52401.58,0.92
2023-01-10,Eastleigh,45196.47,49315.39,0.84
2023-01-10,Karen,48211.42,55786.56,0.89
2023-01-10,Kilimani,52033.37,58710.85,0.82
2023-01-10,Kibera,51652.64,52761.31,0.97
2023-01-10,South B,56751.33,66238.73,0.87
2023-01-10,Kahawa,52045.91,51793.08,0.79
2023-01-10,Parklands,44330.15,49152.95,0.84
2023-01-11,Westlands,54056.64,56339.96,0.9
2023-01-11,Eastleigh,45898.1,49470.46,0.89
2023-01-11,Karen,52523.27,53765.73,0.9
2023-01-11,Kilimani,50444.93,48717.52,0.81
2023-01-11,Kibera,47951.87,49342.14,0.92
2023-01-11,South B,48126.21,54619.0,0.86
2023-01-11,Kahawa,53528.73,64970.4,0.88
2023-01-11,Parklands,58713.07,67557.98,0.86
2023-01-12,Westlands,51607.28,48219.32,0.83
2023-01-12,Eastleigh,49282.09,55859.94,0.85
2023-01-12,Karen,51669.38,52650.72,0.77
2023-01-12,Kilimani,44084.34,53215.42,0.79
2023-01-12,Kibera,46056.97,51207.76,0.77
2023-01-12,South B,45638.28,52437.96,0.83
2023-01-12,Kahawa,58417.43,58101.62,0.83
2023-01-12,Parklands,47811.11,52803.51,0.79
2023-01-13,Westlands,47097.61,54458.64,0.84
2023-01-13,Eastleigh,44651.36,55376.76,0.85
2023-01-13,Karen,53066.72,61274.52,0.85
2023-01-13,Kilimani,46051.28,51482.93,0.81
2023-01-13,Kibera,51857.84,56749.3,0.9
2023-01-13,South B,44292.5,51011.83,0.88
2023-01-13,Kahawa,48804.88,56245.81,0.87
2023-01-13,Parklands,53335.76,61028.3,0.85
2023-01-14,Westlands,47018.98,50098.53,0.84
2023-01-14,Eastleigh,54215.72,62136.43,0.9
2023-01-14,Karen,55531.39,60578.94,0.95
2023-01-14,Kilimani,49480.1,53087.04,0.87
2023-01-14,Kibera,52418.56,55395.86,0.84
2023-01-14,South B,47765.14,53219.94,0.89
2023-01-14,Kahawa,48670.45,55592.68,0.78
2023-01-14,Parklands,54448.93,58561.29,0.83
2023-01-15,Westlands,52001.7,58992.73,0.84
2023-01-15,Eastleigh,45556.01,48919.32,0.85
2023-01-15,Karen,52449.21,55150.78,0.82
2023-01-15,Kilimani,51314.72,56425.16,0.86
2023-01-15,Kibera,36927.79,40097.33,0.89
2023-01-15,South B,46920.63,53331.12,0.79
2023-01-15,Kahawa,42186.07,47761.31,0.85
2023-01-15,Parklands,48320.57,56052.84,0.83
2023-01-16,Westlands,46836.9,49499.43,0.8
2023-01-16,Eastleigh,52333.24,56766.58,0.91
2023-01-16,Karen,35238.34,41052.13,0.87
2023-01-16,Kilimani,49545.88,50589.22,0.77
2023-01-16,Kibera,53755.45,60245.86,0.86
2023-01-16,South B,49487.65,57417.42,0.82
2023-01-16,Kahawa,48317.97,52836.73,0.84
