Date,Pipeline_Segment,Pressure_PSI,Flow_Rate_M3_hr,Maintenace_Status
2023-01-01,Pipeline_1,65.4,131.68,Needs Inspection
2023-01-01,Pipeline_2,61.63,122.86,Good
2023-01-01,Pipeline_3,61.11,120.0,Good
2023-01-01,Pipeline_4,61.95,130.98,Good
2023-01-01,Pipeline_5,61.24,129.17,Needs Inspection
2023-01-01,Pipeline_6,63.55,118.69,Good
2023-01-01,Pipeline_7,57.72,114.19,Under Repair
2023-01-01,Pipeline_8,55.26,113.05,Good
2023-01-01,Pipeline_9,63.01,115.02,Good
2023-01-01,Pipeline_10,63.33,123.13,Good
2023-01-01,Pipeline_11,57.6,133.85,Under Repair
2023-01-01,Pipeline_12,61.01,114.31,Good
2023-01-01,Pipeline_13,57.8,101.66,Good
2023-01-01,Pipeline_14,60.89,107.27,Under Repair
2023-01-01,Pipeline_15,68.34,152.93,Good
2023-01-01,Pipeline_16,60.21,102.89,Under Repair
2023-01-01,Pipeline_17,58.25,132.37,Good
2023-01-01,Pipeline_18,69.39,128.01,Good
2023-01-01,Pipeline_19,64.16,119.29,Good
2023-01-01,Pipeline_20,55.89,122.36,Good
2023-01-02,Pipeline_1,65.07,111.75,Good
2023-01-02,Pipeline_2,55.71,145.21,Good
2023-01-02,Pipeline_3,62.38,100.84,Good
2023-01-02,Pipeline_4,67.61,145.05,Good
2023-01-02,Pipeline_5,60.98,119.01,Good
2023-01-02,Pipeline_6,60.97,127.21,Good
2023-01-02,Pipeline_7,61.01,114.26,Good
2023-01-02,Pipeline_8,61.46,105.69,Good
2023-01-02,Pipeline_9,55.91,132.22,Good
2023-01-02,Pipeline_10,64.75,112.0,Good
2023-01-02,Pipeline_11,57.41,112.6,Good
2023-01-02,Pipeline_12,61.23,136.55,Good
2023-01-02,Pipeline_13,61.85,126.4,Good
2023-01-02,Pipeline_14,66.69,133.04,Good
2023-01-02,Pipeline_15,56.06,127.98,Good
2023-01-02,Pipeline_16,58.31,134.86,Good
2023-01-02,Pipeline_17,55.05,93.06,Good
2023-01-02,Pipeline_18,56.05,121.87,Under Repair
2023-01-02,Pipeline_19,61.72,132.18,Good
2023-01-02,Pipeline_20,60.23,89.36,Under Repair
2023-01-03,Pipeline_1,65.02,80.57,Good
2023-01-03,Pipeline_2,51.15,123.44,Needs Inspection
2023-01-03,Pipeline_3,58.49,154.88,Good
2023-01-03,Pipeline_4,56.74,127.04,Needs Inspection
2023-01-03,Pipeline_5,60.39,128.07,Good
2023-01-03,Pipeline_6,58.29,134.77,Under Repair
2023-01-03,Pipeline_7,56.24,146.77,Good
2023-01-03,Pipeline_8,55.0,120.84,Good
2023-01-03,Pipeline_9,66.92,124.52,Good
2023-01-03,Pipeline_10,67.78,123.36,Under Repair
2023-01-03,Pipeline_11,63.3,112.6,Good
2023-01-03,Pipeline_12,59.07,117.83,Needs Inspection
2023-01-03,Pipeline_13,62.2,96.97,Needs Inspection
2023-01-03,Pipeline_14,66.37,86.24,Good
2023-01-03,Pipeline_15,56.84,113.94,Good
2023-01-03,Pipeline_16,51.96,130.08,Good
2023-01-03,Pipeline_17,57.36,103.33,Good
2023-01-03,Pipeline_18,61.21,129.49,Good
2023-01-03,Pipeline_19,59.15,89.99,Good
2023-01-03,Pipeline_20,55.01,97.54,Good
2023-01-04,Pipeline_1,57.87,109.12,Good
2023-01-04,Pipeline_2,63.81,119.75,Good
2023-01-04,Pipeline_3,58.06,119.28,Good
2023-01-04,Pipeline_4,66.9,134.65,Good
2023-01-04,Pipeline_5,59.08,132.43,Good
2023-01-04,Pipeline_6,61.01,148.84,Good
2023-01-04,Pipeline_7,56.94,115.88,Good
2023-01-04,Pipeline_8,55.38,123.98,Good
2023-01-04,Pipeline_9,58.46,131.17,Good
2023-01-04,Pipeline_10,61.61,129.86,Good
2023-01-04,Pipeline_11,68.54,106.48,Good
2023-01-04,Pipeline_12,65.62,149.77,Good
2023-01-04,Pipeline_13,65.86,104.87,Under Repair
2023-01-04,Pipeline_14,66.44,112.69,Good
2023-01-04,Pipeline_15,61.48,117.77,Good
2023-01-04,Pipeline_16,59.54,97.41,Good
2023-01-04,Pipeline_17,54.13,127.4,Good
2023-01-04,Pipeline_18,62.11,86.05,Good
2023-01-04,Pipeline_19,65.28,153.03,Good
2023-01-04,Pipeline_20,58.79,122.33,Good
2023-01-05,Pipeline_1,55.56,134.47,Good
2023-01-05,Pipeline_2,60.42,89.11,Good
2023-01-05,Pipeline_3,64.27,124.19,Good
2023-01-05,Pipeline_4,69.32,146.6,Good
2023-01-05,Pipeline_5,61.06,134.24,Good
2023-01-05,Pipeline_6,61.81,110.7,Good
2023-01-05,Pipeline_7,65.21,142.07,Good
